         x   sqrt(x)       x^2
    2.0000    1.4142    4.0000
    3.0000    1.7321    9.0000
    4.0000    2.0000   16.0000
    5.0000    2.2361   25.0000
    6.0000    2.4495   36.0000
    7.0000    2.6458   49.0000
    8.0000    2.8284   64.0000
    9.0000    3.0000   81.0000
   10.0000    3.1623  100.0000
   11.0000    3.3166  121.0000
   12.0000    3.4641  144.0000
   13.0000    3.6056  169.0000
   14.0000    3.7417  196.0000
   15.0000    3.8730  225.0000
   16.0000    4.0000  256.0000
   17.0000    4.1231  289.0000
   18.0000    4.2426  324.0000
   19.0000    4.3589  361.0000
   20.0000    4.4721  400.0000
